"ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Platform_SPOTID","Gene.symbol","Gene.title"
"227368_at",1.21804772149221e-10,3.34169470916929e-13,8.6850725664915,19.7172313750011,1.17075721041452,"AW009630","","",""
"224958_at",1.31825517748413e-10,3.64072303246646e-13,8.66624963659379,19.6340492984446,0.782976899247465,"AV728521","","NUFIP2","NUFIP2, FMR1 interacting protein 2"
"215111_s_at",1.4361378121804e-10,4.00246469722333e-13,8.64544420590238,19.5421082123428,1.34688349009992,"","","TSC22D1","TSC22 domain family member 1"
"219597_s_at",1.4361378121804e-10,4.02905286112803e-13,-8.6439899907963,19.5356819976368,-1.13397730713427,"NM_017434","","DUOX1","dual oxidase 1"
"204068_at",1.4361378121804e-10,4.04508867079619e-13,8.64311755727107,19.5318266973742,1.14309060566198,"NM_006281","","STK3","serine/threonine kinase 3"
"209797_at",1.45723385082637e-10,4.13116135122245e-13,-8.63849303759479,19.5113909390712,-0.855427410932866,"BC001027","","CNPY2","canopy FGF signaling regulator 2"
"212295_s_at",1.46893642772052e-10,4.19120407360586e-13,-8.63532373495796,19.497385868331,-1.29429505366277,"AA148507","","SLC7A1","solute carrier family 7 member 1"
"230943_at",1.4806272786157e-10,4.2522524632369e-13,8.63214754309848,19.4833504232115,2.15305773679937,"AI821669","","SOX17","SRY-box 17"
"209112_at",1.4806272786157e-10,4.30483132333549e-13,8.62944832137861,19.471422742856,1.03367386959641,"BC001971","","CDKN1B","cyclin dependent kinase inhibitor 1B"
"1558777_at",1.4806272786157e-10,4.32881197206749e-13,8.62822815980483,19.4660309475896,0.97327817865808,"AK093577","","MKL2","MKL1/myocardin like 2"
"229999_at",1.4806272786157e-10,4.33288275406514e-13,8.62802170498563,19.4651186415189,1.14050507132397,"","","LOC101928747///RBMX///SNORD61","uncharacterized LOC101928747///RNA binding motif protein, X-linked///small nucleolar RNA, C/D box 61"
"236796_at",1.48505992182604e-10,4.37946338727967e-13,8.62567301581433,19.4547400083329,1.87020588300703,"AI052447","","",""
"1559096_x_at",1.48505992182604e-10,4.40017754615122e-13,-8.62463657623356,19.4501600938101,-1.19225376920921,"","","FBXO9","F-box protein 9"
"228538_at",1.49931215452221e-10,4.51184401432897e-13,-8.61913198770329,19.4258360488651,-1.63499944678377,"BE671164","","ZNF662","zinc finger protein 662"
"218497_s_at",1.49931215452221e-10,4.53122595578241e-13,-8.61819044379568,19.4216755150807,-0.894497253208435,"NM_002936","","RNASEH1","ribonuclease H1"
"225447_at",1.49931215452221e-10,4.54827695447936e-13,8.61736545584491,19.4180300294295,0.964304107124903,"AA613031","","GPD2","glycerol-3-phosphate dehydrogenase 2"
"1557459_at",1.49931215452221e-10,4.55209543028235e-13,8.61718112809544,19.4172155162551,1.60217164112334,"AL831884","","",""
"236606_at",1.51873652508749e-10,4.65269081245413e-13,8.61237999446413,19.3960002148962,0.919875144268541,"N50912","","",""
"205020_s_at",1.51873652508749e-10,4.66662526227159e-13,8.61172313739906,19.3930977024849,1.37667113486339,"NM_005738","","ARL4A","ADP ribosylation factor like GTPase 4A"
"202657_s_at",1.51953477262647e-10,4.69687017053267e-13,8.6103041401632,19.3868274661931,0.8212658604395,"NM_014755","","SERTAD2","SERTA domain containing 2"
"208743_s_at",1.53151635659767e-10,4.76191642654969e-13,-8.60728306409726,19.3734780531109,-0.59558336697892,"BC001359","","YWHAB","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta"
"212055_at",1.59751460304814e-10,5.03056977370653e-13,-8.5952276033743,19.3202086542903,-0.968899066985166,"BF689173","","TPGS2","tubulin polyglutamylase complex subunit 2"
"222495_at",1.59751460304814e-10,5.03529987191016e-13,8.59502116008415,19.3192964560102,0.950168531683845,"AV712912","","TMEM167B","transmembrane protein 167B"
"225590_at",1.59751460304814e-10,5.05477871654921e-13,8.59417305116889,19.3155489734745,2.01094070024902,"","","SH3RF1","SH3 domain containing ring finger 1"
